cultivo;date;variables;valor
maiz;2020-11-19;ws;1.7004
maiz;2020-11-20;ws;1.2011458333333334
maiz;2020-11-21;ws;1.1203125
maiz;2020-11-22;ws;1.1110416666666667
maiz;2020-11-23;ws;1.2282291666666667
maiz;2020-11-24;ws;1.2127083333333333
maiz;2020-11-25;ws;1.3642708333333333
maiz;2020-11-26;ws;1.3732291666666667
maiz;2020-11-27;ws;1.2052083333333332
maiz;2020-11-28;ws;1.2103125
maiz;2020-11-29;ws;1.3108333333333333
maiz;2020-11-30;ws;1.1407291666666666
maiz;2020-12-01;ws;1.0108333333333333
maiz;2020-12-02;ws;1.1435416666666667
maiz;2020-12-03;ws;1.3792708333333334
maiz;2020-12-04;ws;0.95125
maiz;2020-12-05;ws;0.9346875
maiz;2020-12-06;ws;0.8754166666666666
maiz;2020-12-07;ws;1.2135416666666667
maiz;2020-12-08;ws;1.08125
maiz;2020-12-09;ws;1.0102083333333334
maiz;2020-12-10;ws;1.0627083333333334
maiz;2020-12-11;ws;1.1158333333333332
maiz;2020-12-12;ws;0.7694791666666667
maiz;2020-12-13;ws;1.0177083333333334
maiz;2020-12-14;ws;0.9921875
maiz;2020-12-15;ws;0.9554166666666667
maiz;2020-12-16;ws;0.83875
maiz;2020-12-17;ws;0.7642708333333333
maiz;2020-12-18;ws;1.1078125
maiz;2020-12-19;ws;0.7803125
maiz;2020-12-20;ws;0.8979166666666667
maiz;2020-12-21;ws;0.7272916666666667
maiz;2020-12-22;ws;0.8272916666666666
maiz;2020-12-23;ws;0.7735416666666667
maiz;2020-12-24;ws;0.8389583333333334
maiz;2020-12-25;ws;0.8015625
maiz;2020-12-26;ws;0.7197916666666666
maiz;2020-12-27;ws;0.664375
maiz;2020-12-28;ws;0.6535416666666667
maiz;2020-12-29;ws;0.7415625
maiz;2020-12-30;ws;0.7965625
maiz;2020-12-31;ws;0.5157291666666667
maiz;2021-01-01;ws;0.5414583333333334
maiz;2021-01-02;ws;0.5516666666666666
maiz;2021-01-03;ws;0.6132291666666667
maiz;2021-01-04;ws;0.5680208333333333
maiz;2021-01-05;ws;0.69375
maiz;2021-01-06;ws;0.5301041666666667
maiz;2021-01-07;ws;0.5203125
maiz;2021-01-08;ws;0.5567708333333333
maiz;2021-01-09;ws;0.6864583333333334
maiz;2021-01-10;ws;0.7092708333333333
maiz;2021-01-11;ws;0.7847916666666667
maiz;2021-01-12;ws;0.5713541666666667
maiz;2021-01-13;ws;0.5313541666666667
maiz;2021-01-14;ws;0.5767708333333333
maiz;2021-01-15;ws;0.61875
maiz;2021-01-16;ws;0.7304166666666666
maiz;2021-01-17;ws;0.594375
maiz;2021-01-18;ws;0.540625
maiz;2021-01-19;ws;0.5621875
maiz;2021-01-20;ws;0.5501041666666667
maiz;2021-01-21;ws;0.5554166666666667
maiz;2021-01-22;ws;0.6021875
maiz;2021-01-23;ws;0.5719791666666667
maiz;2021-01-24;ws;0.5810416666666667
maiz;2021-01-25;ws;0.646875
maiz;2021-01-26;ws;0.6382291666666666
maiz;2021-01-27;ws;0.6842708333333334
maiz;2021-01-28;ws;0.6251041666666667
maiz;2021-01-29;ws;0.9215625
maiz;2021-01-30;ws;0.7536458333333333
maiz;2021-01-31;ws;0.7539583333333333
maiz;2021-02-01;ws;0.7926041666666667
maiz;2021-02-02;ws;0.6370833333333333
maiz;2021-02-03;ws;0.6019791666666666
maiz;2021-02-04;ws;0.633125
maiz;2021-02-05;ws;0.7296875
maiz;2021-02-06;ws;0.5366666666666666
maiz;2021-02-07;ws;0.5260416666666666
maiz;2021-02-08;ws;0.54875
maiz;2021-02-09;ws;0.6739583333333333
maiz;2021-02-10;ws;0.5619791666666667
maiz;2021-02-11;ws;0.6336458333333334
maiz;2021-02-12;ws;0.6046875
maiz;2021-02-13;ws;0.5642708333333334
maiz;2021-02-14;ws;0.5859375
maiz;2021-02-15;ws;0.6709375
maiz;2021-02-16;ws;0.5690625
maiz;2021-02-17;ws;0.6851041666666666
maiz;2021-02-18;ws;0.6554166666666666
maiz;2021-02-19;ws;0.6555208333333333
maiz;2021-02-20;ws;0.5771875
maiz;2021-02-21;ws;0.5908333333333333
maiz;2021-02-22;ws;0.6251041666666667
maiz;2021-02-23;ws;0.5885416666666666
maiz;2021-02-24;ws;0.5952083333333333
maiz;2021-02-25;ws;0.6303125
maiz;2021-02-26;ws;0.604375
maiz;2021-02-27;ws;0.5870833333333333
maiz;2021-02-28;ws;0.6002083333333333
maiz;2021-03-01;ws;0.6308333333333334
maiz;2021-03-02;ws;0.5477083333333334
maiz;2021-03-03;ws;0.5765625
maiz;2021-03-04;ws;0.580625
maiz;2021-03-05;ws;0.7101041666666666
maiz;2021-03-06;ws;0.6001041666666667
maiz;2021-03-07;ws;0.6380208333333334
maiz;2021-03-08;ws;0.5736458333333333
maiz;2021-03-09;ws;0.5360416666666666
maiz;2021-03-10;ws;0.695
maiz;2021-03-11;ws;0.674375
maiz;2021-03-12;ws;0.5741666666666667
maiz;2021-03-13;ws;0.534375
maiz;2021-03-14;ws;0.5809375
maiz;2021-03-15;ws;0.5120833333333333
maiz;2021-03-16;ws;0.46697916666666667
maiz;2021-03-17;ws;0.6416666666666667
maiz;2021-03-18;ws;0.62375
maiz;2021-03-19;ws;0.6828125
maiz;2021-03-20;ws;0.6530208333333334
maiz;2021-03-21;ws;0.584375
maiz;2021-03-22;ws;0.5911458333333334
maiz;2021-03-23;ws;0.5620833333333334
maiz;2021-03-24;ws;0.549375
maiz;2021-03-25;ws;0.616875
maiz;2021-03-26;ws;0.7552083333333334
maiz;2021-03-27;ws;0.6101041666666667
maiz;2021-03-28;ws;0.5691666666666667
maiz;2021-03-29;ws;0.57375
maiz;2021-03-30;ws;0.588125
maiz;2021-03-31;ws;0.5785416666666666
maiz;2021-04-01;ws;0.5740625
maiz;2021-04-02;ws;0.6088541666666667
maiz;2021-04-03;ws;0.6071875
maiz;2021-04-04;ws;0.7217
maiz;2021-04-05;ws;0.8817708333333333
maiz;2021-04-06;ws;0.5416666666666666
maiz;2021-04-07;ws;0.4510416666666667
maiz;2021-04-08;ws;0.661875
maiz;2021-04-09;ws;0.5311458333333333
maiz;2021-04-10;ws;0.6584375
maiz;2021-04-11;ws;0.6664583333333334
maiz;2021-04-12;ws;0.6216666666666667
maiz;2021-04-13;ws;0.579375
maiz;2021-04-14;ws;0.5636458333333333
maiz;2021-04-15;ws;0.5854166666666667
maiz;2021-04-16;ws;0.5885416666666666
maiz;2021-04-17;ws;0.6180208333333334
maiz;2021-04-18;ws;0.68375
maiz;2021-04-19;ws;0.7373958333333334
maiz;2021-04-20;ws;1.0305208333333333
maiz;2021-04-21;ws;0.9845833333333334
maiz;2021-04-22;ws;0.7991666666666667
maiz;2021-04-23;ws;0.8515625
maiz;2021-04-24;ws;0.875
maiz;2021-04-25;ws;0.7533333333333333
maiz;2021-04-26;ws;0.8223958333333333
