cultivo;date;variables;valor
maiz;2020-11-19;pp;0
maiz;2020-11-20;pp;0
maiz;2020-11-21;pp;0
maiz;2020-11-22;pp;0
maiz;2020-11-23;pp;0
maiz;2020-11-24;pp;0
maiz;2020-11-25;pp;2.059
maiz;2020-11-26;pp;0
maiz;2020-11-27;pp;0
maiz;2020-11-28;pp;0
maiz;2020-11-29;pp;0
maiz;2020-11-30;pp;0
maiz;2020-12-01;pp;0
maiz;2020-12-02;pp;0
maiz;2020-12-03;pp;0
maiz;2020-12-04;pp;0
maiz;2020-12-05;pp;0
maiz;2020-12-06;pp;0
maiz;2020-12-07;pp;0
maiz;2020-12-08;pp;0
maiz;2020-12-09;pp;0
maiz;2020-12-10;pp;1.4809999999999999
maiz;2020-12-11;pp;0.034
maiz;2020-12-12;pp;8.988999999999999
maiz;2020-12-13;pp;0.17
maiz;2020-12-14;pp;0
maiz;2020-12-15;pp;0
maiz;2020-12-16;pp;0
maiz;2020-12-17;pp;0
maiz;2020-12-18;pp;6.561
maiz;2020-12-19;pp;0
maiz;2020-12-20;pp;0
maiz;2020-12-21;pp;0
maiz;2020-12-22;pp;0
maiz;2020-12-23;pp;0.017
maiz;2020-12-24;pp;0
maiz;2020-12-25;pp;0
maiz;2020-12-26;pp;0
maiz;2020-12-27;pp;0
maiz;2020-12-28;pp;0.085
maiz;2020-12-29;pp;0
maiz;2020-12-30;pp;0.085
maiz;2020-12-31;pp;0.017
maiz;2021-01-01;pp;0.034
maiz;2021-01-02;pp;0.034
maiz;2021-01-03;pp;0
maiz;2021-01-04;pp;0.017
maiz;2021-01-05;pp;0.068
maiz;2021-01-06;pp;0.051000000000000004
maiz;2021-01-07;pp;0
maiz;2021-01-08;pp;0.017
maiz;2021-01-09;pp;0.034
maiz;2021-01-10;pp;0.051000000000000004
maiz;2021-01-11;pp;0.28900000000000003
maiz;2021-01-12;pp;0.051000000000000004
maiz;2021-01-13;pp;0.051000000000000004
maiz;2021-01-14;pp;0.034
maiz;2021-01-15;pp;0.034
maiz;2021-01-16;pp;0.068
maiz;2021-01-17;pp;0.034
maiz;2021-01-18;pp;0
maiz;2021-01-19;pp;0.034
maiz;2021-01-20;pp;0.051000000000000004
maiz;2021-01-21;pp;0.034
maiz;2021-01-22;pp;0.068
maiz;2021-01-23;pp;0.034
maiz;2021-01-24;pp;0.068
maiz;2021-01-25;pp;0.068
maiz;2021-01-26;pp;0.034
maiz;2021-01-27;pp;0.017
maiz;2021-01-28;pp;0.20400000000000001
maiz;2021-01-29;pp;53.505
maiz;2021-01-30;pp;30.133
maiz;2021-01-31;pp;11.036999999999999
maiz;2021-02-01;pp;0.34
maiz;2021-02-02;pp;0.11900000000000001
maiz;2021-02-03;pp;0.11900000000000001
maiz;2021-02-04;pp;0.136
maiz;2021-02-05;pp;0.068
maiz;2021-02-06;pp;0.10200000000000001
maiz;2021-02-07;pp;0
maiz;2021-02-08;pp;0.11900000000000001
maiz;2021-02-09;pp;0.136
maiz;2021-02-10;pp;0.10200000000000001
maiz;2021-02-11;pp;0.017
maiz;2021-02-12;pp;0.10200000000000001
maiz;2021-02-13;pp;0.10200000000000001
maiz;2021-02-14;pp;0.085
maiz;2021-02-15;pp;0.11900000000000001
maiz;2021-02-16;pp;0.153
maiz;2021-02-17;pp;0.068
maiz;2021-02-18;pp;0.051000000000000004
maiz;2021-02-19;pp;0.034
maiz;2021-02-20;pp;0.068
maiz;2021-02-21;pp;0.10200000000000001
maiz;2021-02-22;pp;0.085
maiz;2021-02-23;pp;0.11900000000000001
maiz;2021-02-24;pp;0.10200000000000001
maiz;2021-02-25;pp;0.068
maiz;2021-02-26;pp;0.10200000000000001
maiz;2021-02-27;pp;0.136
maiz;2021-02-28;pp;0.11900000000000001
maiz;2021-03-01;pp;0.10200000000000001
maiz;2021-03-02;pp;0.017
maiz;2021-03-03;pp;0
maiz;2021-03-04;pp;0.085
maiz;2021-03-05;pp;0.051000000000000004
maiz;2021-03-06;pp;0.034
maiz;2021-03-07;pp;0.136
maiz;2021-03-08;pp;0.136
maiz;2021-03-09;pp;0.051000000000000004
maiz;2021-03-10;pp;0
maiz;2021-03-11;pp;0.068
maiz;2021-03-12;pp;0.068
maiz;2021-03-13;pp;0.051000000000000004
maiz;2021-03-14;pp;0.034
maiz;2021-03-15;pp;2.057
maiz;2021-03-16;pp;0.867
maiz;2021-03-17;pp;0.017
maiz;2021-03-18;pp;0.051000000000000004
maiz;2021-03-19;pp;0.034
maiz;2021-03-20;pp;0
maiz;2021-03-21;pp;0.068
maiz;2021-03-22;pp;0.051000000000000004
maiz;2021-03-23;pp;0.051000000000000004
maiz;2021-03-24;pp;0.068
maiz;2021-03-25;pp;0.051000000000000004
