geometry;muestra;cultivo;variable;band;valor;date
c(267424.84322317, 5970351.83901442);4;trigo;feno;1;285;2020-10-11
c(267325.880497903, 5970251.93123325);1;trigo;feno;1;276;2020-10-02
c(267222.297476872, 5970288.28354686);2;trigo;feno;1;277;2020-10-03
c(267318.798842094, 5970372.70892328);5;trigo;feno;1;285;2020-10-11
c(267103.509067031, 5970319.48182146);3;trigo;feno;1;277;2020-10-03
c(268851.961059431, 5969948.29313324);5;maiz;feno;1;322;2020-11-17
c(268799.930726717, 5969814.07767798);1;maiz;feno;1;322;2020-11-17
c(268681.829125117, 5969855.98851984);2;maiz;feno;1;321;2020-11-16
c(268604.857090739, 5970009.29054857);4;maiz;feno;1;326;2020-11-21
c(268481.45584638, 5969926.53256864);3;maiz;feno;1;324;2020-11-19
c(267424.84322317, 5970351.83901442);4;trigo;feno;2;266;2020-09-22
c(267325.880497903, 5970251.93123325);1;trigo;feno;2;259;2020-09-15
c(267222.297476872, 5970288.28354686);2;trigo;feno;2;258;2020-09-14
c(267318.798842094, 5970372.70892328);5;trigo;feno;2;265;2020-09-21
c(267103.509067031, 5970319.48182146);3;trigo;feno;2;261;2020-09-17
c(268851.961059431, 5969948.29313324);5;maiz;feno;2;307;2020-11-02
c(268799.930726717, 5969814.07767798);1;maiz;feno;2;307;2020-11-02
c(268681.829125117, 5969855.98851984);2;maiz;feno;2;305;2020-10-31
c(268604.857090739, 5970009.29054857);4;maiz;feno;2;309;2020-11-04
c(268481.45584638, 5969926.53256864);3;maiz;feno;2;307;2020-11-02
c(267424.84322317, 5970351.83901442);4;trigo;feno;3;36;2020-02-05
c(267325.880497903, 5970251.93123325);1;trigo;feno;3;48;2020-02-17
c(267222.297476872, 5970288.28354686);2;trigo;feno;3;47;2020-02-16
c(267318.798842094, 5970372.70892328);5;trigo;feno;3;40;2020-02-09
c(267103.509067031, 5970319.48182146);3;trigo;feno;3;49;2020-02-18
c(268851.961059431, 5969948.29313324);5;maiz;feno;3;60;2020-02-29
c(268799.930726717, 5969814.07767798);1;maiz;feno;3;60;2020-02-29
c(268681.829125117, 5969855.98851984);2;maiz;feno;3;57;2020-02-26
c(268604.857090739, 5970009.29054857);4;maiz;feno;3;53;2020-02-22
c(268481.45584638, 5969926.53256864);3;maiz;feno;3;59;2020-02-28
c(267424.84322317, 5970351.83901442);4;trigo;feno;4;371;2021-01-05
c(267325.880497903, 5970251.93123325);1;trigo;feno;4;374;2021-01-08
c(267222.297476872, 5970288.28354686);2;trigo;feno;4;372;2021-01-06
c(267318.798842094, 5970372.70892328);5;trigo;feno;4;378;2021-01-12
c(267103.509067031, 5970319.48182146);3;trigo;feno;4;371;2021-01-05
c(268851.961059431, 5969948.29313324);5;maiz;feno;4;472;2021-04-16
c(268799.930726717, 5969814.07767798);1;maiz;feno;4;474;2021-04-18
c(268681.829125117, 5969855.98851984);2;maiz;feno;4;466;2021-04-10
c(268604.857090739, 5970009.29054857);4;maiz;feno;4;472;2021-04-16
c(268481.45584638, 5969926.53256864);3;maiz;feno;4;476;2021-04-20
c(267424.84322317, 5970351.83901442);4;trigo;feno;5;15;2020-01-15
c(267325.880497903, 5970251.93123325);1;trigo;feno;5;15;2020-01-15
c(267222.297476872, 5970288.28354686);2;trigo;feno;5;15;2020-01-15
c(267318.798842094, 5970372.70892328);5;trigo;feno;5;15;2020-01-15
c(267103.509067031, 5970319.48182146);3;trigo;feno;5;15;2020-01-15
c(268851.961059431, 5969948.29313324);5;maiz;feno;5;14;2020-01-14
c(268799.930726717, 5969814.07767798);1;maiz;feno;5;14;2020-01-14
c(268681.829125117, 5969855.98851984);2;maiz;feno;5;14;2020-01-14
c(268604.857090739, 5970009.29054857);4;maiz;feno;5;14;2020-01-14
c(268481.45584638, 5969926.53256864);3;maiz;feno;5;14;2020-01-14
