geometry;muestra;cultivo;date;valor;variable;clai
c(267424.84322317, 5970351.83901442);4;trigo;2020-09-20;0.5550838708877563;lai;0.5550838708877563
c(267325.880497903, 5970251.93123325);1;trigo;2020-09-20;0.5742239952087402;lai;0.5742239952087402
c(267222.297476872, 5970288.28354686);2;trigo;2020-09-20;0.5846325755119324;lai;0.5846325755119324
c(267318.798842094, 5970372.70892328);5;trigo;2020-09-20;0.5538818836212158;lai;0.5538818836212158
c(267103.509067031, 5970319.48182146);3;trigo;2020-09-20;0.573444664478302;lai;0.573444664478302
c(268851.961059431, 5969948.29313324);5;maiz;2020-09-20;0.5349573493003845;lai;0.5349573493003845
c(268799.930726717, 5969814.07767798);1;maiz;2020-09-20;0.5365620255470276;lai;0.5365620255470276
c(268681.829125117, 5969855.98851984);2;maiz;2020-09-20;0.5273284912109375;lai;0.5273284912109375
c(268604.857090739, 5970009.29054857);4;maiz;2020-09-20;0.5243251919746399;lai;0.5243251919746399
c(268481.45584638, 5969926.53256864);3;maiz;2020-09-20;0.5360121130943298;lai;0.5360121130943298
c(267424.84322317, 5970351.83901442);4;trigo;2020-10-20;1.6633602380752563;lai;2.2184441089630127
c(267325.880497903, 5970251.93123325);1;trigo;2020-10-20;2.4992971420288086;lai;3.073521137237549
c(267222.297476872, 5970288.28354686);2;trigo;2020-10-20;2.4998834133148193;lai;3.0845159888267517
c(267318.798842094, 5970372.70892328);5;trigo;2020-10-20;1.5091042518615723;lai;2.062986135482788
c(267103.509067031, 5970319.48182146);3;trigo;2020-10-20;2.611255645751953;lai;3.184700310230255
c(268851.961059431, 5969948.29313324);5;maiz;2020-10-20;0.5321797132492065;lai;1.067137062549591
c(268799.930726717, 5969814.07767798);1;maiz;2020-10-20;0.5313910841941833;lai;1.067953109741211
c(268681.829125117, 5969855.98851984);2;maiz;2020-10-20;0.5217607021331787;lai;1.0490891933441162
c(268604.857090739, 5970009.29054857);4;maiz;2020-10-20;0.5168476104736328;lai;1.0411728024482727
c(268481.45584638, 5969926.53256864);3;maiz;2020-10-20;0.5278260111808777;lai;1.0638381242752075
c(267424.84322317, 5970351.83901442);4;trigo;2020-10-30;2.320648670196533;lai;4.539092779159546
c(267325.880497903, 5970251.93123325);1;trigo;2020-10-30;2.798013687133789;lai;5.871534824371338
c(267222.297476872, 5970288.28354686);2;trigo;2020-10-30;2.795379161834717;lai;5.8798951506614685
c(267318.798842094, 5970372.70892328);5;trigo;2020-10-30;2.1321682929992676;lai;4.195154428482056
c(267103.509067031, 5970319.48182146);3;trigo;2020-10-30;2.8738300800323486;lai;6.058530390262604
c(268851.961059431, 5969948.29313324);5;maiz;2020-10-30;0.3558630347251892;lai;1.4230000972747803
c(268799.930726717, 5969814.07767798);1;maiz;2020-10-30;0.35839319229125977;lai;1.4263463020324707
c(268681.829125117, 5969855.98851984);2;maiz;2020-10-30;0.354954332113266;lai;1.4040435254573822
c(268604.857090739, 5970009.29054857);4;maiz;2020-10-30;0.3507552444934845;lai;1.3919280469417572
c(268481.45584638, 5969926.53256864);3;maiz;2020-10-30;0.3617561459541321;lai;1.4255942702293396
c(267424.84322317, 5970351.83901442);4;trigo;2020-12-09;2.98490571975708;lai;7.523998498916626
c(267325.880497903, 5970251.93123325);1;trigo;2020-12-09;3.145138740539551;lai;9.016673564910889
c(267222.297476872, 5970288.28354686);2;trigo;2020-12-09;3.1563799381256104;lai;9.036275088787079
c(267318.798842094, 5970372.70892328);5;trigo;2020-12-09;3.1461503505706787;lai;7.341304779052734
c(267103.509067031, 5970319.48182146);3;trigo;2020-12-09;3.1631174087524414;lai;9.221647799015045
c(268851.961059431, 5969948.29313324);5;maiz;2020-12-09;2.9686145782470703;lai;4.391614675521851
c(268799.930726717, 5969814.07767798);1;maiz;2020-12-09;2.998439073562622;lai;4.424785375595093
c(268681.829125117, 5969855.98851984);2;maiz;2020-12-09;2.906419277191162;lai;4.310462802648544
c(268604.857090739, 5970009.29054857);4;maiz;2020-12-09;2.4224510192871094;lai;3.8143790662288666
c(268481.45584638, 5969926.53256864);3;maiz;2020-12-09;2.764617443084717;lai;4.190211713314056
c(267424.84322317, 5970351.83901442);4;trigo;2020-12-29;0.9367570877075195;lai;8.460755586624146
c(267325.880497903, 5970251.93123325);1;trigo;2020-12-29;1.0461959838867187;lai;10.062869548797607
c(267222.297476872, 5970288.28354686);2;trigo;2020-12-29;0.991454005241394;lai;10.027729094028473
c(267318.798842094, 5970372.70892328);5;trigo;2020-12-29;1.267316460609436;lai;8.60862123966217
c(267103.509067031, 5970319.48182146);3;trigo;2020-12-29;0.9790824055671692;lai;10.200730204582214
c(268851.961059431, 5969948.29313324);5;maiz;2020-12-29;3.3112542629241943;lai;7.702868938446045
c(268799.930726717, 5969814.07767798);1;maiz;2020-12-29;3.315342903137207;lai;7.7401282787323
c(268681.829125117, 5969855.98851984);2;maiz;2020-12-29;3.2807538509368896;lai;7.591216653585434
c(268604.857090739, 5970009.29054857);4;maiz;2020-12-29;3.131976842880249;lai;6.946355909109116
c(268481.45584638, 5969926.53256864);3;maiz;2020-12-29;3.24052095413208;lai;7.4307326674461365
c(267424.84322317, 5970351.83901442);4;trigo;2021-01-18;0.6835304498672485;lai;9.144286036491394
c(267325.880497903, 5970251.93123325);1;trigo;2021-01-18;0.6865510940551758;lai;10.749420642852783
c(267222.297476872, 5970288.28354686);2;trigo;2021-01-18;0.6628617644309998;lai;10.690590858459473
c(267318.798842094, 5970372.70892328);5;trigo;2021-01-18;0.7049844861030579;lai;9.313605725765228
c(267103.509067031, 5970319.48182146);3;trigo;2021-01-18;0.6916355490684509;lai;10.892365753650665
c(268851.961059431, 5969948.29313324);5;maiz;2021-01-18;3.2657394409179687;lai;10.968608379364014
c(268799.930726717, 5969814.07767798);1;maiz;2021-01-18;3.2048497200012207;lai;10.94497799873352
c(268681.829125117, 5969855.98851984);2;maiz;2021-01-18;3.2189760208129883;lai;10.810192674398422
