id;cultivo;muestra;estructura;peso;campo;lugar;comuna;region;date
1;trigo;1;tallo;57.3;1;villa baviera;parral;maule;2020-11-05
2;trigo;1;hoja;59.2;1;villa baviera;parral;maule;2020-11-05
3;trigo;1;hoja;37.3;1;villa baviera;parral;maule;2020-11-05
4;trigo;2;tallo;65.5;1;villa baviera;parral;maule;2020-11-05
5;trigo;2;hoja;60.10000000000001;1;villa baviera;parral;maule;2020-11-05
6;trigo;3;tallo;73.7;1;villa baviera;parral;maule;2020-11-05
7;trigo;3;hoja;41;1;villa baviera;parral;maule;2020-11-05
8;trigo;4;tallo;44;1;villa baviera;parral;maule;2020-11-05
9;trigo;4;hoja;29.099999999999998;1;villa baviera;parral;maule;2020-11-05
10;trigo;5;tallo;41.099999999999994;1;villa baviera;parral;maule;2020-11-05
11;trigo;5;hoja;18.900000000000002;1;villa baviera;parral;maule;2020-11-05
12;trigo;5;hoja;16.900000000000002;1;villa baviera;parral;maule;2020-11-05
13;trigo;1;hoja;38.7;1;villa baviera;parral;maule;2020-11-19
14;trigo;1;tallo;86.7;1;villa baviera;parral;maule;2020-11-19
15;trigo;1;espiga;51.7;1;villa baviera;parral;maule;2020-11-19
16;trigo;2;hoja;40.2;1;villa baviera;parral;maule;2020-11-19
17;trigo;2;tallo;83;1;villa baviera;parral;maule;2020-11-19
18;trigo;2;espiga;53;1;villa baviera;parral;maule;2020-11-19
19;trigo;3;hoja;33.7;1;villa baviera;parral;maule;2020-11-19
20;trigo;3;tallo;79.7;1;villa baviera;parral;maule;2020-11-19
21;trigo;3;espiga;53.10000000000001;1;villa baviera;parral;maule;2020-11-19
22;trigo;4;hoja;25.099999999999998;1;villa baviera;parral;maule;2020-11-19
23;trigo;4;tallo;58.5;1;villa baviera;parral;maule;2020-11-19
24;trigo;4;espiga;28.099999999999998;1;villa baviera;parral;maule;2020-11-19
25;trigo;5;hoja;42.3;1;villa baviera;parral;maule;2020-11-19
26;trigo;5;tallo;109.00000000000001;1;villa baviera;parral;maule;2020-11-19
27;trigo;5;espiga;48.8;1;villa baviera;parral;maule;2020-11-19
28;trigo;1;tallo;137.39999999999998;1;villa baviera;parral;maule;2020-12-09
29;trigo;1;tallo;52.5;1;villa baviera;parral;maule;2020-12-09
30;trigo;1;hoja;54;1;villa baviera;parral;maule;2020-12-09
31;trigo;1;espiga;187.2;1;villa baviera;parral;maule;2020-12-09
32;trigo;2;tallo;38.8;1;villa baviera;parral;maule;2020-12-09
33;trigo;2;tallo;150.1;1;villa baviera;parral;maule;2020-12-09
34;trigo;2;hoja;52;1;villa baviera;parral;maule;2020-12-09
35;trigo;2;espiga;216.2;1;villa baviera;parral;maule;2020-12-09
36;trigo;3;tallo;29.3;1;villa baviera;parral;maule;2020-12-09
37;trigo;3;tallo;134.1;1;villa baviera;parral;maule;2020-12-09
38;trigo;3;hoja;36.5;1;villa baviera;parral;maule;2020-12-09
39;trigo;3;espiga;190.79999999999998;1;villa baviera;parral;maule;2020-12-09
40;trigo;4;tallo;96;1;villa baviera;parral;maule;2020-12-09
41;trigo;4;tallo;93.10000000000001;1;villa baviera;parral;maule;2020-12-09
42;trigo;4;hoja;44.3;1;villa baviera;parral;maule;2020-12-09
43;trigo;4;espiga;162.79999999999998;1;villa baviera;parral;maule;2020-12-09
44;trigo;5;tallo;134.39999999999998;1;villa baviera;parral;maule;2020-12-09
45;trigo;5;hoja;70.60000000000001;1;villa baviera;parral;maule;2020-12-09
46;trigo;5;hoja;58;1;villa baviera;parral;maule;2020-12-09
47;trigo;5;espiga;175.7;1;villa baviera;parral;maule;2020-12-09
48;trigo;1;hoja;21.3;1;villa baviera;parral;maule;2020-12-29
49;trigo;1;tallo;126.8;1;villa baviera;parral;maule;2020-12-29
50;trigo;1;espiga;376.2;1;villa baviera;parral;maule;2020-12-29
51;trigo;2;hoja;22.7;1;villa baviera;parral;maule;2020-12-29
52;trigo;2;tallo;111.50000000000001;1;villa baviera;parral;maule;2020-12-29
53;trigo;2;espiga;281.5;1;villa baviera;parral;maule;2020-12-29
54;trigo;3;hoja;26.400000000000002;1;villa baviera;parral;maule;2020-12-29
55;trigo;3;tallo;113.3;1;villa baviera;parral;maule;2020-12-29
56;trigo;3;espiga;284.2;1;villa baviera;parral;maule;2020-12-29
57;trigo;4;hoja;95.8;1;villa baviera;parral;maule;2020-12-29
58;trigo;4;tallo;17.900000000000002;1;villa baviera;parral;maule;2020-12-29
59;trigo;4;espiga;221.6;1;villa baviera;parral;maule;2020-12-29
60;trigo;5;hoja;27.7;1;villa baviera;parral;maule;2020-12-29
61;trigo;5;tallo;119.7;1;villa baviera;parral;maule;2020-12-29
62;trigo;5;espiga;286.8;1;villa baviera;parral;maule;2020-12-29
63;trigo;1;espiga;350.4;1;villa baviera;parral;maule;2021-01-18
