geometry;muestra;cultivo;variable;date;valor;cndvi
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-08-06;0.16293929517269135;0.16293929517269135
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-08-06;0.17496152222156525;0.17496152222156525
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-08-06;0.1618160605430603;0.1618160605430603
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-08-06;0.16701461374759674;0.16701461374759674
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-08-06;0.19204474985599518;0.19204474985599518
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2020-08-06;0.1767241358757019;0.1767241358757019
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2020-08-06;0.20257234573364258;0.20257234573364258
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2020-08-06;0.11322751641273499;0.11322751641273499
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2020-08-06;0.17457114160060883;0.17457114160060883
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2020-08-06;0.16151203215122223;0.16151203215122223
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-09-20;0.21435627341270447;0.3772955685853958
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-09-20;0.2698412835597992;0.44480280578136444
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-09-20;0.29156625270843506;0.45338231325149536
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-09-20;0.21487602591514587;0.3818906396627426
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-09-20;0.26397058367729187;0.45601533353328705
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2020-09-20;0.06666667014360428;0.24339080601930618
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2020-09-20;0.06766215711832047;0.27023450285196304
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2020-09-20;0.05341506004333496;0.16664257645606995
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2020-09-20;0.08029837906360626;0.2548695206642151
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2020-09-20;0.06624319404363632;0.22775522619485855
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-10-15;0.60701751708984375;0.9843130856752396
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-10-15;0.8311475515365601;1.2759503573179245
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-10-15;0.8012767434120178;1.2546590566635132
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-10-15;0.5687804818153381;0.9506711214780807
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-10-15;0.8253275156021118;1.2813428491353989
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2020-10-15;0.07923269271850586;0.32262349873781204
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2020-10-15;0.07371111959218979;0.34394562244415283
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2020-10-15;0.08859720826148987;0.2552397847175598
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2020-10-15;0.08384819328784943;0.3387177139520645
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2020-10-15;0.06764466315507889;0.29539988934993744
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-10-20;0.7661906480789185;1.750503733754158
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-10-20;0.8673180937767029;2.1432684510946274
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-10-20;0.8693035244941711;2.1239625811576843
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-10-20;0.745672881603241;1.6963440030813217
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-10-20;0.8908703923225403;2.172213241457939
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2020-10-20;0.10759738087654114;0.4302208796143532
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2020-10-20;0.11846829205751419;0.462413914501667
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2020-10-20;0.10079878568649292;0.35603857040405273
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2020-10-20;0.11385350674390793;0.45257122069597244
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2020-10-20;0.0881771445274353;0.38357703387737274
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-10-30;0.8854892253875732;2.6359929591417313
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-10-30;0.9479739665985107;3.091242417693138
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-10-30;0.9448659420013428;3.068828523159027
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-10-30;0.8576732873916626;2.5540172904729843
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-10-30;0.949385404586792;3.121598646044731
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2020-10-30;0.14695590734481812;0.5771767869591713
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2020-10-30;0.14040328562259674;0.6028172001242638
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2020-10-30;0.15400993824005127;0.510048508644104
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2020-10-30;0.14865362644195557;0.601224847137928
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2020-10-30;0.14615662395954132;0.5297336578369141
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-11-14;0.9849447011947632;3.6209376603364944
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-11-14;0.9840503931045532;4.075292810797691
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-11-14;0.9911410808563232;4.05996960401535
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-11-14;0.9729241728782654;3.5269414633512497
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-11-14;0.9839637875556946;4.105562433600426
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-12-04;0.8990476131439209;4.519985273480415
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-12-04;0.9370904564857483;5.01238326728344
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-12-04;0.9362267255783081;4.9961963295936584
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-12-04;0.9375134706497192;4.464454934000969
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-12-04;0.9326087236404419;5.038171157240868
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2020-12-04;0.8818565607070923;1.4590333476662636
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2020-12-04;0.9033251404762268;1.5061423406004906
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2020-12-04;0.8936605453491211;1.403709053993225
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2020-12-04;0.783948540687561;1.385173387825489
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2020-12-04;0.8382007479667664;1.3679344058036804
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-12-09;0.8760859370231628;5.396071210503578
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-12-09;0.9059534072875977;5.918336674571037
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-12-09;0.9252737760543823;5.921470105648041
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-12-09;0.9284945130348206;5.3929494470357895
c(267103.509067031, 5970319.48182146);3;trigo;ndvi;2020-12-09;0.9163644313812256;5.954535588622093
c(268851.961059431, 5969948.29313324);5;maiz;ndvi;2020-12-09;0.9370276927947998;2.3960610404610634
c(268799.930726717, 5969814.07767798);1;maiz;ndvi;2020-12-09;0.9354372620582581;2.4415796026587486
c(268681.829125117, 5969855.98851984);2;maiz;ndvi;2020-12-09;0.9279792904853821;2.331688344478607
c(268604.857090739, 5970009.29054857);4;maiz;ndvi;2020-12-09;0.8816455602645874;2.2668189480900764
c(268481.45584638, 5969926.53256864);3;maiz;ndvi;2020-12-09;0.9132624268531799;2.2811968326568604
c(267424.84322317, 5970351.83901442);4;trigo;ndvi;2020-12-29;0.3806212246417999;5.776692435145378
c(267325.880497903, 5970251.93123325);1;trigo;ndvi;2020-12-29;0.40532785654067993;6.323664531111717
c(267222.297476872, 5970288.28354686);2;trigo;ndvi;2020-12-29;0.3925956189632416;6.314065724611282
c(267318.798842094, 5970372.70892328);5;trigo;ndvi;2020-12-29;0.5057522058486938;5.898701652884483
