id;cultivo;muestra;estructura;peso;campo;lugar;comuna;region;fecha
1;trigo;1;tallo;76.6;1;villa baviera;parral;maule;05-11-2020
2;trigo;1;hoja;78.5;1;villa baviera;parral;maule;05-11-2020
3;trigo;1;hoja;56.6;1;villa baviera;parral;maule;05-11-2020
4;trigo;2;tallo;84.8;1;villa baviera;parral;maule;05-11-2020
5;trigo;2;hoja;79.4;1;villa baviera;parral;maule;05-11-2020
6;trigo;3;tallo;93.0;1;villa baviera;parral;maule;05-11-2020
7;trigo;3;hoja;60.3;1;villa baviera;parral;maule;05-11-2020
8;trigo;4;tallo;63.3;1;villa baviera;parral;maule;05-11-2020
9;trigo;4;hoja;48.4;1;villa baviera;parral;maule;05-11-2020
10;trigo;5;tallo;60.4;1;villa baviera;parral;maule;05-11-2020
11;trigo;5;hoja;38.2;1;villa baviera;parral;maule;05-11-2020
12;trigo;5;hoja;36.2;1;villa baviera;parral;maule;05-11-2020
13;trigo;1;hoja;58.0;1;villa baviera;parral;maule;19-11-2020
14;trigo;1;tallo;106.0;1;villa baviera;parral;maule;19-11-2020
15;trigo;1;espiga;71.0;1;villa baviera;parral;maule;19-11-2020
16;trigo;2;hoja;59.5;1;villa baviera;parral;maule;19-11-2020
17;trigo;2;tallo;102.3;1;villa baviera;parral;maule;19-11-2020
18;trigo;2;espiga;72.3;1;villa baviera;parral;maule;19-11-2020
19;trigo;3;hoja;53.0;1;villa baviera;parral;maule;19-11-2020
20;trigo;3;tallo;99.0;1;villa baviera;parral;maule;19-11-2020
21;trigo;3;espiga;72.4;1;villa baviera;parral;maule;19-11-2020
22;trigo;4;hoja;44.4;1;villa baviera;parral;maule;19-11-2020
23;trigo;4;tallo;77.8;1;villa baviera;parral;maule;19-11-2020
24;trigo;4;espiga;47.4;1;villa baviera;parral;maule;19-11-2020
25;trigo;5;hoja;61.6;1;villa baviera;parral;maule;19-11-2020
26;trigo;5;tallo;128.3;1;villa baviera;parral;maule;19-11-2020
27;trigo;5;espiga;68.1;1;villa baviera;parral;maule;19-11-2020
28;trigo;1;tallo;156.7;1;villa baviera;parral;maule;09-12-2020
29;trigo;1;tallo;71.8;1;villa baviera;parral;maule;09-12-2020
30;trigo;1;hoja;73.3;1;villa baviera;parral;maule;09-12-2020
31;trigo;1;espiga;206.5;1;villa baviera;parral;maule;09-12-2020
32;trigo;2;tallo;58.1;1;villa baviera;parral;maule;09-12-2020
33;trigo;2;tallo;169.4;1;villa baviera;parral;maule;09-12-2020
34;trigo;2;hoja;71.3;1;villa baviera;parral;maule;09-12-2020
35;trigo;2;espiga;235.5;1;villa baviera;parral;maule;09-12-2020
36;trigo;3;tallo;48.6;1;villa baviera;parral;maule;09-12-2020
37;trigo;3;tallo;153.4;1;villa baviera;parral;maule;09-12-2020
38;trigo;3;hoja;55.8;1;villa baviera;parral;maule;09-12-2020
